date,nifty_close,vix,nifty_realvol20d,fpi_net_equity_cr,usdinr,tri,engine_hedge_target,engine_stage
2016-06-23,8270.4502,18.02,9.6482,3714,67.422,11091.16,18,Stage 2 — Active Phase
2016-06-24,8088.6001,18.63,12.1218,3714,67.242,10847.29,21.2,Stage 2 — Active Phase
2016-06-27,8094.7002,18.53,12.0759,3714,67.877,10855.5,21.3,Stage 2 — Active Phase
2016-06-28,8127.8501,17.73,12.1643,3714,67.921,10899.91,20.4,Stage 2 — Active Phase
2016-06-29,8204,16.16,12.6003,3714,67.705,11009.02,18.3,Stage 2 — Active Phase
2016-06-30,8287.75,16.29,13.0017,3714,67.416,11121.39,16.7,Stage 2 — Active Phase
2016-07-01,8328.3496,15.74,13.0976,12611,67.501,11175.85,15.6,Stage 2 — Active Phase
2016-07-04,8370.7002,15.58,13.1351,12611,67.182,11233.09,14.8,Stage 1 — Onset
2016-07-05,8335.9502,15.36,12.9913,12611,67.237,11186.41,15,Stage 2 — Active Phase
2016-07-06,8335.9502,15.36,12.9913,12611,67.426,11186.41,14.9,Stage 2 — Active Phase
2016-07-07,8337.9004,15.31,12.5693,12611,67.401,11192.11,14.8,Stage 2 — Active Phase
2016-07-08,8323.2002,15.08,12.4753,12611,67.497,11172.39,14.8,Stage 2 — Active Phase
2016-07-11,8467.9004,14.85,13.3388,12611,67.132,11366.82,13.5,Stage 1 — Onset
2016-07-12,8521.0498,14.78,13.384,12611,67.145,11438.19,12.9,Stage 1 — Onset
2016-07-13,8519.5,15.33,12.9271,12611,66.87,11436.09,12.4,Stage 1 — Onset
2016-07-14,8565,15.61,12.4272,12611,67.006,11497.65,11.6,Stage 1 — Onset
2016-07-15,8541.4004,15.64,12.5594,12611,66.838,11474.04,12,Stage 2 — Active Phase
2016-07-18,8508.7002,15.99,12.5173,12611,67.133,11431.25,12.6,Stage 2 — Active Phase
2016-07-19,8528.5498,15.8,12.4347,12611,67.139,11457.95,12.4,Stage 2 — Active Phase
2016-07-20,8565.8496,15.99,12.3801,12611,67.206,11508.07,11.9,Stage 2 — Active Phase
2016-07-21,8510.0996,15.71,12.537,12611,67.164,11435.64,12.7,Stage 2 — Active Phase
2016-07-22,8541.2002,15.5,8.8956,12611,67.154,11477.47,12.1,Stage 2 — Active Phase
2016-07-25,8635.6504,15.72,9.3276,12611,67.146,11606.29,10.8,Stage 2 — Active Phase
2016-07-26,8590.6504,15.62,9.7889,12611,67.405,11545.78,11.4,Stage 2 — Active Phase
2016-07-27,8615.7998,15.43,9.4791,12611,67.284,11579.64,11,Stage 2 — Active Phase
2016-07-28,8666.2998,15.15,9.1312,12611,67.063,11652.18,10.2,Stage 1 — Onset
2016-07-29,8638.5,14.92,9.2706,12611,67.007,11614.8,10.3,Stage 2 — Active Phase
2016-08-01,8636.5498,15.18,9.2153,9071,66.648,11612.19,10.4,Stage 2 — Active Phase
2016-08-02,8622.9004,15.69,9.0468,9071,66.751,11594.65,10.8,Stage 2 — Active Phase
2016-08-03,8544.8496,16.24,9.8155,9071,66.676,11489.74,12.2,Stage 2 — Active Phase
2016-08-04,8551.0996,15.14,9.8103,9071,66.76,11498.13,11.8,Stage 2 — Active Phase
2016-08-05,8683.1504,14.35,10.9233,9071,66.841,11675.68,10.4,Stage 1 — Onset
2016-08-08,8711.3496,14.59,9.3739,9071,66.835,11713.58,10.2,Stage 1 — Onset
2016-08-09,8678.25,14.54,9.3654,9071,66.794,11669.7,10.2,Stage 1 — Onset
2016-08-10,8575.2998,14.92,10.4178,9071,66.783,11532.49,11,Stage 2 — Active Phase
2016-08-11,8592.1504,14.21,10.271,9071,66.758,11555.84,10.5,Stage 2 — Active Phase
2016-08-12,8592.1504,13.77,10.2136,9071,66.74,11663.43,10.4,Stage 1 — Onset
2016-08-15,8592.1504,13.77,10.0979,9071,66.8996,11663.43,10.4,Stage 1 — Onset
2016-08-16,8642.5498,14.18,10.259,9071,66.8649,11623.61,10.3,Stage 1 — Onset
2016-08-17,8624.0498,14.78,10.2076,9071,66.8577,11598.72,10.3,Stage 1 — Onset
2016-08-18,8673.25,14.55,10.0372,9071,66.9055,11670.37,10.3,Stage 1 — Onset
2016-08-19,8666.9004,14.54,10.0014,9071,66.82,11661.82,10.3,Stage 1 — Onset
2016-08-22,8629.1504,14.24,9.3768,9071,67.1275,11611.02,10.2,Stage 1 — Onset
2016-08-23,8632.5996,13.9,9.1745,9071,67.1874,11615.7,10.2,Stage 1 — Onset
2016-08-24,8650.2998,13.49,9.1459,9071,67.13,11639.48,10.2,Stage 1 — Onset
2016-08-25,8592.2002,13.29,9.2064,9071,67.16,11561.34,10.2,Stage 1 — Onset
2016-08-26,8572.5498,13.57,9.1751,9071,67.0056,11534.92,10.2,Stage 1 — Onset
2016-08-29,8607.4502,13.17,9.3102,9071,67.129,11581.83,10.2,Stage 1 — Onset
2016-08-30,8744.3496,13.02,10.8697,9071,67.09,11766.04,10.3,Stage 1 — Onset
2016-08-31,8786.2002,13.24,10.3131,9071,67.1266,11826.19,10.2,Stage 1 — Onset
2016-09-01,8774.6504,13.34,10.356,10444,66.9747,11810.69,10.2,Stage 1 — Onset
2016-09-02,8809.6504,12.94,9.0129,10444,66.793,11857.76,10.1,Stage 1 — Onset
2016-09-05,8809.6504,12.94,8.966,10444,66.5728,11857.76,10.1,Stage 1 — Onset
2016-09-06,8943,12.75,10.1611,10444,66.46,12037.72,10.1,Stage 1 — Onset
2016-09-07,8917.9502,13.15,9.0118,10444,66.2552,12005.43,10,Stage 1 — Onset
2016-09-08,8952.5,13.12,9.0372,10444,66.4716,12055.6,10,Stage 1 — Onset
2016-09-09,8866.7002,13.23,9.9299,10444,66.45,11940.12,10.1,Stage 1 — Onset
2016-09-12,8715.5996,15.24,11.9582,10444,66.778,11737,10.6,Stage 1 — Onset
2016-09-13,8715.5996,15.24,11.8043,10444,66.723,11737,10.6,Stage 1 — Onset
2016-09-14,8726.5996,14.76,11.768,10444,66.995,11751.93,10.6,Stage 1 — Onset
2016-09-15,8742.5498,14.68,11.6251,10444,66.7581,11774.9,10.5,Stage 1 — Onset
2016-09-16,8779.8496,14.58,11.6955,10444,66.8503,11825.12,10.4,Stage 1 — Onset
2016-09-19,8808.4004,14.94,11.5743,10444,67.0653,11863.61,10.4,Stage 1 — Onset
2016-09-20,8775.9004,14.78,11.6945,10444,66.9552,11819.83,10.4,Stage 1 — Onset
2016-09-21,8777.1504,14.81,11.6875,10444,66.975,11821.52,10.4,Stage 1 — Onset
2016-09-22,8867.4502,13.34,11.8018,10444,66.7612,11943.44,10.3,Stage 1 — Onset
2016-09-23,8831.5498,13.25,11.8949,10444,66.6226,11895.07,10.4,Stage 1 — Onset
2016-09-26,8723.0498,14.57,12.8164,10444,66.6965,11748.91,10.9,Stage 1 — Onset
2016-09-27,8706.4004,14.25,11.5228,10444,66.6065,11726.49,10.5,Stage 1 — Onset
2016-09-28,8745.1504,13.85,11.5042,10444,66.4413,11778.71,10.4,Stage 1 — Onset
2016-09-29,8591.25,18.45,13.0811,10444,66.3328,11571.4,12.2,Stage 1 — Onset
2016-09-30,8611.1504,17.18,13.0091,10444,66.8163,11598.22,12.1,Stage 1 — Onset
2016-10-03,8738.0996,15.62,14.165,10444,66.5465,11769.16,12.2,Stage 1 — Onset
2016-10-04,8769.1504,14.99,13.0486,10444,66.3803,11811.04,11,Stage 1 — Onset
2016-10-05,8743.9502,14.93,13.05,10444,66.578,11777.1,11.1,Stage 1 — Onset
2016-10-06,8709.5498,14.84,12.959,10444,66.5632,11730.75,11.2,Stage 1 — Onset
2016-10-07,8697.5996,14.49,12.5876,10444,66.6871,11714.65,11,Stage 1 — Onset
2016-10-10,8708.7998,14.29,11.0425,10444,66.5912,11729.75,10.4,Stage 1 — Onset
2016-10-11,8708.7998,14.29,11.0425,10444,66.4851,11729.75,10.4,Stage 1 — Onset
2016-10-12,8708.7998,14.29,11.0319,10444,66.7985,11729.75,10.4,Stage 1 — Onset
2016-10-13,8573.3496,15.43,12.3022,10444,66.8181,11547.3,11.4,Stage 1 — Onset
