Date,Nifty_Close,Nifty_Open,Nifty_High,Nifty_Low,Nifty50_Futures,VIX,Gold_INR_10g,USDINR,FPI_Net_Equity_Cr,FPI_Net_Debt_Cr,FPI_Net_Total_Cr,Put_Cost_ATM_Pct,Put_Cost_95_OTM_Pct,Drawdown_Pct,Yield_3M_Open,Yield_3M_High,Yield_3M_Low,Yield_3M_Close,FPI_Is_MTD,Nifty_LogRet,Nifty_RealVol20d,Put_Cost_Source,Data_Tier,Nifty_Range_Pct,Nifty_Body_Pct,VIX_High_Flag,VIX_Spike_Flag,TRI
2018-08-29,11691.90039,7376.65,7398.7,7250.0,11707.1,12.43999958,27317.00005,70.54000092,1775.0,3414.0,5146.0,1.186804157,0.085156723,-0.396980955,2.075000048,2.079999924,2.075000048,2.079999924,False,-0.003978,8.7799,Actual_VIX_BS,Full,2.051,58.4988,0,0,16156.02
2018-08-30,11676.7998,7376.65,7398.7,7250.0,11676.8,12.40999985,27305.25758,70.91000366,1775.0,3414.0,5146.0,1.183414623,0.084196938,-0.525622484,2.072999954,2.072999954,2.055000067,2.058000088,False,-0.001292,7.9463,Actual_VIX_BS,Full,2.051,58.2941,0,0,16135.61
2018-08-31,11680.5,7376.65,7398.7,7250.0,11735.3,12.60000038,27555.55597,71.40499878,1775.0,3414.0,5146.0,1.204884491,0.090372902,-0.494100609,2.055000067,2.059999943,2.055000067,2.055000067,False,0.000317,7.3133,Actual_VIX_BS,Full,2.051,58.3442,0,0,16143.51
2018-09-03,11582.34961,7376.65,7398.7,7250.0,11641.75,13.39000034,27555.55597,70.99500275,1775.0,3414.0,5146.0,1.294214379,0.118490961,-1.330241433,2.055000067,2.059999943,2.055000067,2.055000067,False,-0.008438,8.0877,Actual_VIX_BS,Full,2.051,57.0137,0,0,16007.84
2018-09-04,11520.2998,7376.65,7398.7,7250.0,11573.1,13.77999973,27252.61953,71.06999969,1775.0,3414.0,5146.0,1.338346293,0.133785012,-1.858842231,2.058000088,2.078000069,2.058000088,2.068000078,False,-0.005372,8.3835,Actual_VIX_BS,Full,2.051,56.1725,0,0,15922.09
2018-09-05,11476.9502,7376.65,7398.7,7250.0,11518.25,13.64999962,27564.12518,71.75,1775.0,3414.0,5146.0,1.323633426,0.128585478,-2.228136514,2.089999914,2.089999914,2.089999914,2.089999914,False,-0.00377,8.3227,Actual_VIX_BS,Full,2.051,55.5849,0,0,15862.15
2018-09-06,11536.90039,7376.65,7398.7,7250.0,11567.15,13.72000027,27687.24807,71.88999939,1775.0,3414.0,5146.0,1.33155554,0.131372732,-1.717422238,2.079999924,2.082999945,2.078000069,2.079999924,False,0.00521,8.5001,Actual_VIX_BS,Full,2.051,56.3976,0,0,15947.67
2018-09-07,11589.09961,7376.65,7398.7,7250.0,11632.95,13.89000034,27606.6275,71.93890381,1775.0,3414.0,5146.0,1.35079735,0.138263013,-1.272738345,2.082999945,2.092999935,2.082999945,2.088000059,False,0.004514,8.496,Actual_VIX_BS,Full,2.051,57.1052,0,0,16019.84
2018-09-10,11438.09961,7376.65,7398.7,7250.0,11492.7,15.19999981,27652.62316,72.09500122,1775.0,3414.0,5146.0,1.499181264,0.196903484,-2.559103724,2.085000038,2.092999935,2.082999945,2.082999945,False,-0.013115,9.5061,Actual_VIX_BS,Full,2.051,55.0582,0,0,15813.26
2018-09-11,11287.5,7376.65,7398.7,7250.0,11336.25,15.32999992,27842.76831,72.44499969,1775.0,3414.0,5146.0,1.513915776,0.203235404,-3.842058185,2.105000019,2.10800004,2.105000019,2.10800004,False,-0.013254,10.318,Actual_VIX_BS,Full,2.051,53.0166,0,0,15605.11
